step,mean_bleu,std_bleu,mean_bertscore,std_bertscore,mean_sembscore,std_sembscore,mean_radgraphcombined,std_radgraphcombined,mean_cxrmetric,std_cxrmetric
100,0.04252198194035182,0.055108588898969635,0.14028314335097875,0.1840492162850542,0.17784803654754913,0.1664480285200253,0.04074352261465262,0.04505336175566493,3.291269993786708,0.1593820981002485
200,0.08143175841465765,0.07412746801483967,0.26496662848678154,0.12005217685218536,0.2037265523010074,0.17182317446983744,0.072544492052411,0.06838007799078706,3.1637717673365606,0.2273945231284407
300,0.03319342025460755,0.05336150760908268,0.1423944560141532,0.22189066859483408,0.17163572253450976,0.1791843192886226,0.048163830950895964,0.06516152795659733,3.2955376814539514,0.19002555856162667
400,0.043511505475687544,0.061717935320712625,0.21463589981109601,0.17512983182023278,0.17896650363935007,0.1926458704025088,0.055612061554701823,0.07558997651762979,3.263449191188789,0.2225500734933053
500,0.06366363473702356,0.07129341711189165,0.23698330849918695,0.16742333349947217,0.18302308312283785,0.19258959745196771,0.061526427196543464,0.07331878427619377,3.215868601957857,0.23635297885229703
600,0.05909223089936333,0.07040779813807493,0.23332971197283722,0.16680327960557467,0.17089833110157543,0.19298615753094275,0.06383000334814545,0.07840190654418906,3.2202896891537236,0.24629337873767357
700,0.05810494625003053,0.06943055657019057,0.208349851773717,0.20654732241092702,0.1878600480471441,0.18100583785881627,0.06565584129881011,0.07543697853221129,3.2189224065949666,0.23603344686647507
800,0.042731618589860805,0.057885479707139295,0.21091207781774193,0.19262823413212662,0.19358926061296278,0.1872503052046674,0.0652000854495051,0.07403121241276707,3.248129320560464,0.21196825927707905
900,0.07581080399431205,0.07376463086813792,0.26957612662181085,0.16032124287571556,0.2001827394194653,0.19364136752848127,0.0820793195330897,0.08104767912296348,3.1574912731482225,0.2515780575550716
1000,0.08005935500925347,0.08348577841110388,0.23041992335387462,0.22415079153806547,0.1852811931370274,0.1955489873413066,0.08179303299095855,0.08753923991365982,3.1501403386486033,0.2845709742495476
1100,0.077442250663335,0.07346177478711248,0.2852989385518145,0.12024878362136183,0.20845342509874493,0.18902989384733704,0.08710068549232898,0.07734362794234159,3.1456983271333065,0.24453620214130997
1200,0.060162435516498775,0.06638709954142086,0.28268889197958214,0.13800917347624175,0.2006305798961094,0.19134480338027826,0.08850168286512057,0.08140493082353718,3.1751826184266125,0.2365074861714575
1300,0.03909388339821148,0.05430180697662035,0.17526432596963343,0.18140493934614996,0.17284027925230513,0.1821725499446174,0.048056022709926906,0.0657681075005831,3.284821979502729,0.1916330042320306
1400,0.06287645171433895,0.07013802605843383,0.22092409853739003,0.18267804532109647,0.194219325955646,0.18390992631974937,0.06689412031405735,0.07530760638539745,3.207939903230271,0.2395167787733166
1500,0.06188118374474521,0.07048039578837038,0.1805305818037005,0.17446295307738555,0.19375446964614845,0.18232755580337712,0.05743316126674169,0.0659183352019214,3.226318166879473,0.22583881924712637
1600,0.059454178555144205,0.06084968856410686,0.24103663260355573,0.11413840831123122,0.1935149284638682,0.1759892485947024,0.06812471254454233,0.06597070468456528,3.212113091523913,0.19937600185833673
1700,0.07402957077238417,0.06797627705255396,0.2414247982501301,0.1224991928221241,0.19025772542267066,0.1758441391038842,0.07081505455576964,0.0649472744303535,3.1804744289991205,0.21363244818085045
1800,0.07273207259978882,0.06955068979720014,0.22558720411373165,0.13964736166350092,0.18902797515762182,0.17974781480289326,0.07139991649001774,0.07066551147417643,3.1818498146507093,0.22801817649296405
1900,0.09807920973563566,0.0722987980221125,0.26116178507137094,0.10751921935057504,0.19011982302546235,0.18725145552962388,0.08165339286968197,0.0707944646119427,3.1170834236016542,0.2328789746940135
2000,0.0936536881571231,0.07661851614792525,0.27807262768885627,0.11596035169955388,0.1919943997358335,0.18567899759179718,0.07897493613189105,0.0740878079441394,3.129944160808168,0.2460027558974009
2100,0.05745835124327736,0.06144346907057132,0.23315841931706746,0.1259876191701324,0.1852714783293393,0.17816166728691157,0.07034699990790876,0.06912603090308081,3.2119165691554845,0.208560476465305
2200,0.05488025192859828,0.06040829779771265,0.19648525387653593,0.1689465660667301,0.18083755008855007,0.16981587741729487,0.05955414472577731,0.06595502080080513,3.235548262465147,0.20604458831671255
2300,0.051935267273683486,0.05895707124796054,0.20315676625609236,0.14655417911477767,0.17856987952268022,0.17762415717213886,0.0619526253745012,0.06690307964988201,3.23679779155107,0.20186743208147814
2400,0.05830337334523529,0.0636366582106218,0.22761661204766492,0.1341242519755477,0.18127427008030575,0.17119577930864951,0.06939813842109462,0.06914406590536178,3.212013686316598,0.21310622205249174
